GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC08,"Total; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC01_MOE_VC08,"Total; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC02_EST_VC08,"Percent; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC02_MOE_VC08,"Percent; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC03_EST_VC08,"Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC03_MOE_VC08,"Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC04_EST_VC08,"Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC04_MOE_VC08,"Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC05_EST_VC08,"Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC05_MOE_VC08,"Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC06_EST_VC08,"Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC06_MOE_VC08,"Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Male householder, no wife present"
HC01_EST_VC09,"Total; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC01_MOE_VC09,"Total; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC02_EST_VC09,"Percent; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC02_MOE_VC09,"Percent; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC03_EST_VC09,"Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC03_MOE_VC09,"Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC04_EST_VC09,"Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC04_MOE_VC09,"Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC05_EST_VC09,"Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC05_MOE_VC09,"Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC06_EST_VC09,"Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC06_MOE_VC09,"Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Other family: - Female householder, no husband present"
HC01_EST_VC10,Total; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC01_MOE_VC10,Total; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC02_EST_VC10,Percent; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC02_MOE_VC10,Percent; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC03_EST_VC10,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC03_MOE_VC10,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC04_EST_VC10,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC04_MOE_VC10,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC05_EST_VC10,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC05_MOE_VC10,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC06_EST_VC10,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - Nonfamily households
HC06_MOE_VC10,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - Nonfamily households
HC01_EST_VC11,Total; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC01_MOE_VC11,Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC02_EST_VC11,Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC02_MOE_VC11,Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC03_EST_VC11,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC03_MOE_VC11,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC04_EST_VC11,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC04_MOE_VC11,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC05_EST_VC11,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC05_MOE_VC11,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC06_EST_VC11,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years
HC06_MOE_VC11,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years
HC01_EST_VC12,Total; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC01_MOE_VC12,Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC02_EST_VC12,Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC02_MOE_VC12,Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC03_EST_VC12,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC03_MOE_VC12,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC04_EST_VC12,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC04_MOE_VC12,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC05_EST_VC12,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC05_MOE_VC12,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC06_EST_VC12,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC06_MOE_VC12,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Married-couple family
HC01_EST_VC13,Total; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC01_MOE_VC13,Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC02_EST_VC13,Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC02_MOE_VC13,Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC03_EST_VC13,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC03_MOE_VC13,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC04_EST_VC13,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC04_MOE_VC13,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC05_EST_VC13,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC05_MOE_VC13,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC06_EST_VC13,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC06_MOE_VC13,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family:
HC01_EST_VC14,"Total; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC01_MOE_VC14,"Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC02_EST_VC14,"Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC02_MOE_VC14,"Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC03_EST_VC14,"Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC03_MOE_VC14,"Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC04_EST_VC14,"Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC04_MOE_VC14,"Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC05_EST_VC14,"Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC05_MOE_VC14,"Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC06_EST_VC14,"Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC06_MOE_VC14,"Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Male householder, no wife present"
HC01_EST_VC15,"Total; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC01_MOE_VC15,"Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC02_EST_VC15,"Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC02_MOE_VC15,"Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC03_EST_VC15,"Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC03_MOE_VC15,"Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC04_EST_VC15,"Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC04_MOE_VC15,"Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC05_EST_VC15,"Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC05_MOE_VC15,"Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC06_EST_VC15,"Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC06_MOE_VC15,"Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Other family: - Female householder, no husband present"
HC01_EST_VC16,Total; Estimate; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC01_MOE_VC16,Total; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC02_EST_VC16,Percent; Estimate; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC02_MOE_VC16,Percent; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC03_EST_VC16,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC03_MOE_VC16,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC04_EST_VC16,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC04_MOE_VC16,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC05_EST_VC16,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC05_MOE_VC16,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC06_EST_VC16,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC06_MOE_VC16,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - With children under 18 years - Nonfamily households
HC01_EST_VC17,Total; Estimate; HOUSEHOLD TYPE - No children under 18 years
HC01_MOE_VC17,Total; Margin of Error; HOUSEHOLD TYPE - No children under 18 years
HC02_EST_VC17,Percent; Estimate; HOUSEHOLD TYPE - No children under 18 years
HC02_MOE_VC17,Percent; Margin of Error; HOUSEHOLD TYPE - No children under 18 years
HC03_EST_VC17,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years
HC03_MOE_VC17,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years
HC04_EST_VC17,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years
HC04_MOE_VC17,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years
HC05_EST_VC17,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years
HC05_MOE_VC17,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years
HC06_EST_VC17,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years
HC06_MOE_VC17,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years
HC01_EST_VC18,Total; Estimate; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC01_MOE_VC18,Total; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC02_EST_VC18,Percent; Estimate; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC02_MOE_VC18,Percent; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC03_EST_VC18,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC03_MOE_VC18,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC04_EST_VC18,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC04_MOE_VC18,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC05_EST_VC18,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC05_MOE_VC18,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC06_EST_VC18,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC06_MOE_VC18,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Married-couple family
HC01_EST_VC19,Total; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC01_MOE_VC19,Total; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC02_EST_VC19,Percent; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC02_MOE_VC19,Percent; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC03_EST_VC19,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC03_MOE_VC19,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC04_EST_VC19,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC04_MOE_VC19,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC05_EST_VC19,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC05_MOE_VC19,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC06_EST_VC19,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC06_MOE_VC19,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family:
HC01_EST_VC20,"Total; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC01_MOE_VC20,"Total; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC02_EST_VC20,"Percent; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC02_MOE_VC20,"Percent; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC03_EST_VC20,"Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC03_MOE_VC20,"Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC04_EST_VC20,"Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC04_MOE_VC20,"Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC05_EST_VC20,"Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC05_MOE_VC20,"Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC06_EST_VC20,"Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC06_MOE_VC20,"Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Male householder, no wife present"
HC01_EST_VC21,"Total; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC01_MOE_VC21,"Total; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC02_EST_VC21,"Percent; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC02_MOE_VC21,"Percent; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC03_EST_VC21,"Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC03_MOE_VC21,"Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC04_EST_VC21,"Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC04_MOE_VC21,"Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC05_EST_VC21,"Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC05_MOE_VC21,"Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC06_EST_VC21,"Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC06_MOE_VC21,"Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Other family: - Female householder, no husband present"
HC01_EST_VC22,Total; Estimate; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC01_MOE_VC22,Total; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC02_EST_VC22,Percent; Estimate; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC02_MOE_VC22,Percent; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC03_EST_VC22,Households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC03_MOE_VC22,Households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC04_EST_VC22,Percent households receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC04_MOE_VC22,Percent households receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC05_EST_VC22,Households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC05_MOE_VC22,Households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC06_EST_VC22,Percent households not receiving food stamps/SNAP; Estimate; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC06_MOE_VC22,Percent households not receiving food stamps/SNAP; Margin of Error; HOUSEHOLD TYPE - No children under 18 years - Nonfamily households
HC01_EST_VC25,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC01_MOE_VC25,Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC02_EST_VC25,Percent; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC02_MOE_VC25,Percent; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC03_EST_VC25,Households receiving food stamps/SNAP; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC03_MOE_VC25,Households receiving food stamps/SNAP; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC04_EST_VC25,Percent households receiving food stamps/SNAP; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
HC04_MOE_VC25,Percent households receiving food stamps/SNAP; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level
