pid,desc,capperc,cap
29,"Join the growing community of Cascade at Landmark today in an exceptional one or two bedroom apartment home. Our Alexandria, VA apartments offer the comfort and convenience of apartment living in a location that puts the outdoors, great shopping and delicious dining all within your reach. If you enjoy spending time in nature, you will be happy to find numerous parks just moments from our community like Bren Mar Park, which offers picnic areas, playgrounds and a swimming pool. When you are in need of some retail therapy, you will be only minutes from the blue link of the Van Dorn Metro, Interstate 395 and Old Town Alexandria. Our area offers an array of great options for eating out. Our residents can relax next to our sparkling swimming pool, getting a workout in our fitness center complete with cardio and free weight equipment. We are a pet-friendly apartment community and our leasing center is open seven days a week for your convenience.",0.01,1.0
30,"At CITYSIDE Huntington Metro Apartments, you'll find exceptionally redesigned Alexandria, VA apartment rentals available for immediate move-in and just moments from the Metro and surrounded by incredible shopping, dining and nightlife. These studio, 1, 2, and 3-bedroom apartments near Old Town Alexandria come in both tower and plaza residences and allow for truly comfortable living. From the contemporary style of these Alexandria, VA homes to the central tennis court perfect for a friendly game, CITYSIDE Huntington Metro Apartments has what you're looking for in a rental home. Live in completely renovated Alexandria Apartments. Homes now feature NEW kitchens, NEW bathrooms, NEW flooring, NEW appliances and other NEW designer touches. Updated amenities include a spectacular new rooftop fitness center complete with the most state-of-the-art equipment available (including individual TV's on each cardio machine), new landscaping, new lobbies, new hallways, a completely updated pool and ...",0.07,1.0
31,"At Eaton Square Apartments at Arlington Ridge, you'll find Alexandria apartment rentals with everything you've been seeking. Whether you choose a one or two-bedroom apartment, you'll have a completely updated home with excellent features and a wide-range of amenities. Located right on Four Mile Road, the DC area apartments of Eaton Square put you close to everything that has made Alexandria one of the best places to live in Northern Virginia. Shop at nearby Crystal City and Pentagon City. Head into Old Town Alexandria for a great night out. Or head over to Reagan National Airport to go even further. When you live in the Alexandria apartments for rent at Eaton Square, the entire city is yours to enjoy. Make the most of your home. Move to Eaton Square. Ask about our new gorgeously renovated units! Please call for an appointment today.",0.01,1.0
32,"South Port is nestled on 22 acres near the corner of Edsall Rd and Van Dorn Street. Our spacious homes offer you comfortable living with the privacy of a garden apartment. Community amenities include a fitness center, sparkling blue swimming pool, redesigned community room, and playground. Navigate the area with various convenient transportation options. These spectacular Alexandria apartments are on the Metro Bus line with direct access to the Van Dorn Metro Station. You'll have easy access to downtown Washington DC on I-395, I-495 and Route 236. South Port is minutes to Old Town Alexandria with historic sites, galleries, shopping and restaurants. Whether you're a history buff or enjoy the excitement of a hometown parade, there is always something fun and exciting to do in Alexandria! The City offers everything from historic walking tours to diverse cultural festivals and high impact outdoor recreation to the oldest continuously running farmers market in historic Market Square.",0.01,1.0
33,"New look, new style and new attitude in the heart of Old Town. Come see the Metro Urban lifestyle of the newly renovated apartment homes at Bridgeyard. Located just off of I-95/ 495 on the shore of the Potomac River in Alexandria, Bridgeyard's 2 Big Red Brick Towers offer efficiency, one and two-bedroom apartment homes. Newly renovated means gorgeous wood flooring. There is new lido cabinetry, counter tops and new appliances now with a microwave. Energy efficient windows keep the temperature to your liking. Amenities abound with access to the on site Pool and Fitness Center, not to mention our in-house Convenience Store. You'll even get to enjoy the convenience of the security and convenience of the Butterfly MX smartphone intercom system! This High-Rise apartment provides Spectacular views of the Potomac River, Alexandria cityscapes or the close by Old Town Alexandria. Jump on the Bike/Jogging/Walking trail that runs along the river side boundary of the property and continues into the local riverside park a few miles down the trail.",0.01,1.0
34,"The Edgemoore, located in the Kingstowne section of historic Alexandria, Virginia, and close to the Capital Beltway, Franconia-Springfield Metro station, shopping and restaurants, offers one and two bedroom apartment homes with optional lofts or sunrooms. Living at The Edgemoore provides convenience and options. Relax at the resort-style pool. Grab a workout in the fully equipped fitness center. Or take your pup for a play date in our leash-free dog park. At Edgemoore, you'll get a better quality of life.",0.0,0.0
35,"OUR RENOVATIONS ARE NOW COMPLETE! Stop by to see The Mark's stunning transformation in person! * Welcome to The Mark, Alexandrias premier apartment community. With incredible new renovations that are sure to impress, youll find classic and modern studio, one- and two- and three-bedroom layouts to meet your needs. Spacious residences with ample storage are flooded with natural light. Beyond your door, an unmatched collection of brand-new amenities have just been completed, including an expansive pool terrace, a grilling patio, a high-tech laundry lounge with Wi-Fi status updates, and a state-of-the-art fitness center with private studio. Step outside to find a wide variety of local shopping and transportation options at your fingertips, including Dash Bus stops, Van Dorn Metro Station, I-395 and I-495.",0.04,1.0
36,"Alexandria. It's enchanting. It's charming. Others call it lively. Romantic. Great for shopping. Amazing for foodies. Wonderful for walking. However you describe Alexandria, you're probably right. And with the coming of the brand-new apartments at Modera Tempo, you may just end adding another descriptor to your list: ""home."" Our vibrant neighborhood is essentially within a neighborhood, complete with a new main street, Smashburger and Starbucks right outside your front door, and just minutes to the Van Dorn Metro. Then there are the floor plans each with exquisite finishes and loads of layout options. And the grand finale: an amenities line-up second to none and a good dose of customer service that sets this lovely community apart from the pack. And we could go on. And on. And on about the amazing things that you'll find at Modera Tempo high ceilings, front-loading washers, wine lockers, pet spa, upgraded fixtures but it's best to see it up close and in person.",0.0,0.0
37,"As one who succeeds in one of the world's most demanding and dynamic environments, you are well aware that personal tie is a precious commodity. Make the most of it by surrounding yourself in an environment that allows you to truly feel at home. From the modern designs to the beautiful accents throughout, no detail was left behind. Our apartments feature stunning details that welcome you home to life at The Encore Apartments in Alexandria, VA.",0.01,1.0
38,"Parc Meridian has combined the best of the regions natural beauty with the convenience of city living to create stunning new, smoke-free, LEED Certified, green residences that are truly different. Come home to Parc Meridian!",0.03,1.0
39,"Enjoy remarkable amenities and luxury apartment living at Sullivan Place in Alexandria, VA. Our apartments boast nine foot ceilings, regal crown molding, and gorgeous designer kitchens and baths. Residents enjoy the thoughtful finishes, premier resident services, and access to convenient amenities. Work the day?s stress out in our multi-level fitness center or relax it away in our resort-style pool. Our luxury Alexandria apartments also offer a basketball court, theater room, and on-site business center.Located just off of Edsall Road and close to I-395, I-495, and the Van Dorn Metro station, Sullivan Place provides convenient access to Northern Virginia and the Washington DC Metro Area. Take advantage of our free shuttle to the Van Dorn Metro station to ease your commute. Head into the District or around the corner to Pentagon City Mall for shopping and dining. Schedule your personalized tour today and come home to better apartment living at Sullivan Place Apartments.",0.01,1.0
40,"DelRay Tower is the premier location for apartment living in Alexandria, VA. A vibrant home base near the nation?s capital, DelRay Tower apartments offer a wonderful blend of ?Main Street? life and urban energy. Views from the fabulous rooftop penthouse include historic Alexandria in one direction and bustling Washington DC in the other. Enjoy an elegant clubhouse, business center, and a premium fitness center with spectacular city views. Inside your spacious apartment, a gourmet kitchen, distinctive floors, and the convenience of your own washer and dryer await you. Take full advantage of metropolitan living and the quiet pleasures of your lovely neighborhood, enjoy a bus to the Crystal City Metro and a quick walk to elegant bars and cafés. Come see these new Alexandria apartment homes for yourself by scheduling an appointment today!",0.03,1.0
41,"Find your perfect fit at Arbor Park of Alexandria. Live on the edge of it all between Alexandria and Arlington just outside of Washington DC. An easy commute by car or metro makes going to work, or enjoying a night on the town a breeze. Dining, shopping and entertainment are all at your fingertips. Or avoid the hustle and bustle with a rejuvenating swim in our pool or workout session in the fitness center. Schedule an appointment today to see what we're all about.",0.01,1.0
42,"Be at the center of it all at Newport Village, located conveniently in Alexandria with Washington DC just a short commute away by car or metro. Restaurants, shopping and entertainment aplenty are at your fingertips. Find the right fit from our one-, two- and three bedroom apartment homes. Spending the day at home? Refresh at the pool, reenergize in the gym, or take fido for some fetch in the dog park! Make your home with us by scheduling an appointment today.",0.01,1.0
43,"Key Towers Apartment Homes in Alexandria, Virginia 22304 offers high rise living in a convenient metro DC location. Our pet friendly, smoke free apartments feature fully equipped electric kitchens, bay windows, spacious rooms, ample closets, tile floors and central AC/heat. A laundry center is available on each floor. Select penthouses offer fireplaces and panoramic views. Our community features an outdoor swimming pool, brand new fitness center, on site recycling and a picnic area. We are just off I 395, close to shopping, dining, entertainment. We are minutes from Washington DC and downtown Alexandria, 15 minutes from Ronald Reagan National Airport and 40 minutes from Dulles. Guarantors welcome!",0.03,1.0
44,"Live at Foxchase Apartments in Alexandria, Virginia and enjoy 88 wooded acres and easy access to DC. Our pet friendly, soon to be smoke free apartment homes feature private patio or balcony, in unit A/C and automatic dishwasher. Select homes feature updated kitchens with brand new appliances, bathrooms, tile floors, closet organizers, and a stackable washer/dryer. Our community features 4 outdoor swimming pools, 3 fitness centers, 8 tennis courts and 1 sand volleyball court. We are located close to Metro and bus routes, the Capital Beltway, and both Reagan and Dulles International Airports. Guarantors welcome!",0.01,1.0
45,"Live in Alexandria, VA and surround yourself with beautiful landscaping, charming homes, and thoughtful amenities. Located near Duke Street and Van Dorn Street, 101 North Ripley Apartments is just minutes away from all of the shopping, dining and entertainment that nearby Washington D.C. has to offer.101 North Ripley Apartments offers unique studio, one, two, or three bedroom apartment homes that include dishwashers, large closets, and a playground just to name a few of the exclusive amenities we offer our residents. Prepare dinner in your spacious kitchen, take in the sunrise from your private balcony, or enjoy an afternoon in your on-site playground. If you're looking for a home close to Cameron Station or want to experience the perks of a wonderful apartment home in a convenient location, 101 North Ripley Apartments is the place for you in Alexandria. You deserve the very best in apartment living and our community offers an easy and relaxed lifestyle.",0.01,1.0
46,"Set on beautifully landscaped grounds, Huntington Gateway reflects a gracious lifestyle complimented by unique amenities and services. Within our immaculately maintained high-rise buildings, you'll find an exceptional array of apartments and town homes, sizes and price ranges from spacious studios to two bedroom / two bathroom apartments and two bedroom / two and a half bathroom town homes. All created with just the right style for you. Huntington Gateway is set amongst the rolling hillsides of Alexandria, Virginia, within close proximity to Washington DC. The property is just minutes from Old Town Alexandria, MGM Grand National Harbor, National Harbor, Gaylord National Resort & Convention Center and half mile from the Huntington Metro station and easily accessible to the interstates.",0.02,1.0
47,"Let Windsor at Arbors provide you with the comfort you deserve with our gorgeous Alexandria, VA apartments. We'll deliver a home that will impress with our tree-lined courtyards, lush landscaping, and handsome architecture.Our community amenities are here to make your life easier. Maintain a healthy lifestyle with our 24-hour fitness center, take advantage of our resident lounge with Wi-Fi or grab a cup of coffee on the way to work from our complimentary tea and coffee bar.Our convenient location is a commuter's dream. We're just minutes from Washington, DC with easy access to I-395 and I-495. Old Town Alexandria is just four miles away. Additionally we offer a free rush hour shuttle to and from the Van Dorn Metro Station. From there, simply jump on a train and enjoy convenient access to many areas of DC, VA, and MD.Windsor at Arbors is a professionally managed community that offers one- and two- bedroom apartment homes at a great value in a convenient location. Contact us today to sc",0.03,1.0
48,"Presenting The Asher, brand new apartments in Old Town Alexandria, Virginia. Where the historic charm of tree-lined streets encounters the eclectic style of today's finest apartment living. Where the classic comfort of an urban refuge meets the contemporary convenience of easy access to shopping and dining, to culture and leisure, to a great neighborhood and the greater DC area. We're taking outdoor living to the next level--four levels to be exact--with four inspiring outdoor spaces with views of the nation's capital. Along with outstanding indoor amenities to spark a sense of community. All just one block from the Braddock Road Metro, in a LEED(R) certified, non-smoking residence where green living comes naturally. Learn more about the benefits of living in Alexandria.",0.02,1.0
49,"Free Rent until October! Up to $750 Off. Must Move in by 10/15/17. Your new home is waiting for you at Lynbrook at Mark Center Apartment Homes. Our 1, 2 & 3 bedroom apartments in Alexandria offer the flexibility and freedom to create your perfect space. Whether you're looking for your family, you and your roommate, or just for yourself, you'll find what you're looking for at Lynbrook at Mark Center Apartment Homes. Let our welcoming atmosphere put you at ease. Finding your new apartment in Alexandria, VA , is simple when you rent with Lynbrook at Mark Center Apartment Homes. Our 1, 2 & 3 bedroom apartments make choosing your new home at Lynbrook at Mark Center Apartment Homes a breeze.",0.01,1.0
50,"Comfort comes easy at Brookdale at Mark Center Apartment Homes. Our Alexandria apartments are the perfect place to call home. We have crafted our community to cater to your unique needs. Everyone from families, roommates, and anyone in between will enjoy the welcoming atmosphere of our community and apartment homes. Finding an apartment for rent in Alexandria, VA, is easy when you lease from Brookdale at Mark Center Apartment Homes. Our affordable 1 & 2 bedroom apartments are just what you need to simplify your home search. The space you want is waiting for you at Brookdale at Mark Center Apartment Homes.",0.01,1.0
51,"Up to $750 Off & ½ of the Amenity fee applied to your first month's rent ($150.00) . Must Move in by 10/15/17. Comfort comes easy at Stoneridge at Mark Center Apartment Homes. Our Alexandria apartments are the perfect place to call home. We have crafted our community to cater to your unique needs. Everyone from families, roommates, and anyone in between will enjoy the welcoming atmosphere of our community and apartment homes. Finding an apartment for rent in Alexandria, VA, is easy when you lease from Stoneridge at Mark Center Apartment Homes. Our 1, 2 & 3 bedroom apartments are just what you need to simplify your home search. The space you want is waiting for you at Stoneridge at Mark Center Apartment Homes.",0.01,1.0
52,"This centrally located apartment community located in Alexandria Virginia blends the excitement of Northern Virginia with the tranquility of nature and peaceful surroundings. Fairfax County Virginia provides the nations top rated school districts and easy access to Washington, D.C. and surrounding areas. Spend your free time enjoying the swimming pool, fitness center, business center or picnic area with BBQ Grills. Bren Mar is a quick drive to Old Town Alexandria (7 miles) and downtown Washington, DC (10 miles). Located conveniently right off I-395, we're central to shopping, restaurants, and many county parks! Great amenities and a value that is unbeatable Bren Mar is the best choice for your new home in Alexandria Virginia!",0.02,1.0
53,"Rose Hill of Alexandria blends the excitement of being centrally located in Northern Virginia with the tranquility of nature, amidst 10 lush acres. Conveniently located within walking distance of schools, fine dining and premier shopping, this Alexandria Virginia Apartment community features spacious 1, 2 and 3 bedroom newly renovated apartment homes right in the heart of Alexandria Virginia!",0.0,0.0
54,"Get $600 Off When You Apply Today & Move In by Oct. 15th! Finding an apartment for rent in Alexandria, VA, is easy when you lease from Willow Run at Mark Center Apartment Homes. Our affordable 1, 2 & 3 bedroom apartments are just what you need to simplify your home search. The space you want is waiting for you at Willow Run at Mark Center Apartment Homes.",0.01,1.0
55,"SPECIAL ALERT! $500.00 off first month rent, $99.00 Deposit with approve credit, waived admin fee! Call Now!Station 650 at Potomac Yard is Alexandria's premier boutique community. Connect with our stylish amenities and attentive personal service. Residents can enjoy the private outdoor courtyard with 12' glass movie wall, on-site bike shop and storage, private pet spa, fitness center, clubhouse and more.",0.03,1.0
56,"Town Square at Mark Center apartments in Alexandria offer 1-, 2- and 3-bedroom apartment homes as well as three-level townhomes and two- and three-level manor homes with walk-in closets and gas cooking ranges. With access to our sports pavilion, fitness center and pool, there is always something to do! We are conveniently located near the Shops at Mark Center, just off I-395, and 6 miles from Washington, DC. Residents will also enjoy our private shuttle to the Metro and Pentagon City. The Winkler Botanical Preserve is next door.",0.01,1.0
57,"Located just five minutes from DC, The Reserve at Potomac Yard in Alexandria, VA is convenient to I-495, I-395, I-66 and the GW Parkway. We are located across the street from the Potomac Yard Shopping Center. We also provide a private shuttle to the Metro station. Our apartments feature bay or floor-to-ceiling windows with beautiful views, in-home washers and dryers and spacious walk-in closets. Residents will also enjoy working out in the fitness center, relaxing at the pool or taking a ride along the bike trail.",0.03,1.0
58,"Carlyle Mill apartments in Alexandria, VA, are uniquely designed to reflect an authentic mill setting. Spacious apartments offer a range of options including fireplaces, kitchen islands and lofts with iron spiral staircases. With a swimming pool, tennis and basketball courts, a resident game room, theater room and 24-hour fitness center, there's always something to do. Carlyle Mill is conveniently located minutes from I-95 and I-495 and near Eisenhower Avenue, the Beltway, Telegraph Road, and Richmond Highway. We are steps away from one-of-a-kind shops, fine dining and exciting entertainment in Old Town Alexandria.",0.01,1.0
59,"Edlandria is a garden style community, conveniently located in the City of Alexandria. These residence amenities include a microwave, icemaker, large balcony and a washer/dryer in each unit. A metro bus stop is located just outside the property, which provides direct access to the Van Dorn metro station. Old Town Alexandria, just minutes away, is a historic area which includes boutiques, galleries, restaurants and shopping. You will experience the difference in this community, Because Where You Live Matters. Dittmar Company is an FHA and ADA compliant builder and property manager.",0.02,1.0
60,"New in 2016 - Inquire with a Leasing Consultant about available units with newly renovated kitchens! Residents of The Aspen enjoy spacious, modern living in sunlit apartments with iconic views of Washington, DC, a sparkling outdoor swimming pool, fitness center with saunas, complimentary business center, free gated parking and free weekly shuttle service to Crystal City Metro. Located in the popular Del Ray neighborhood of Alexandria, residents will benefit from the commuter-friendly location and the vibrant shops, restaurants, entertainment and amenities Del Ray and surrounding neighborhoods offer.",0.01,1.0
61,"Live near all the recreational opportunities of Old Town Alexandria while enjoying the lush green landscape and beautiful surroundings found at Crystal Woods of Alexandria! We offer newly remodeled eat-in kitchens, abundant closet space, private balcony or patio! Enjoy our new clubhouse with cozy fireplace & wide-screen TV, fitness center with LifeFitness equipment, & business center with high-speed Internet access. We're ready to welcome you home!",0.03,1.0
62,"Welcome to the newly renovated Creekside Village. Located in a quiet neighborhood off Rt.1 , we offer on site convenience with our laundry facilities in every building and recreational activities. Within minutes you can reach shopping centers and we are on a bus line, so transportation is readily available. Come see what we have done to enhance this wonderful community- tour today!",0.0,0.0
63,"What makes Carmel Alexandria Apartments a great place to live? Were happy you asked.Whether the destination is Old Town Alexandria or downtown DC, few residences, if any, connect you so easily to your world. In an area where commute times are often measured in hours, it's reassuring to know you're just minutes from anywhere you want or need to be. Are you in search of apartments in Alexandria, Virginia? Find your new home at Carmel Alexandria.How do you measure happiness?We think you can measure it with the easy-living atmosphere and indulging extras youll find at Carmel Alexandria, our apartments for rent in Alexandria, VA. With floor plans that are both accommodating and extraordinary, you're sure to feel spoiled. All of our Alexandria rentals feature deluxe kitchens with granite countertops, black GE Profile appliances and 42 custom cherry cabinetry. Some of our apartments in Alexandria, VA also have pool views and floor-to-ceiling windows.Youll feel good on the outside, too.Step outside for a dip in our sparkling pool or take in our state-of-the-art fitness center. At our rentals in Alexandria we also provide a resident lounge with Wi-Fi and underground parking for your convenience.Come visit us in person, well be happy to show you around.",0.02,1.0
64,"Welcome to Park Place at Van Dorn in Alexandria, VA. Inside our beautiful homes you'll discover no detail was overlooked as we offer great amenities such as nine foot ceilings, garden soaking tubs, contemporary white-on-white kitchens and spacious closets. Personalized options such as lofts, attached and detached garages, as well as optional storage, make every home a perfect fit. Our clubhouse hosts a Cyber Cafe, where you can gather for a cup of coffee or surf the web. We are also proud to feature a cardio theater accessible 24 hours a day. With all these amenities, we're sure you'll agree that Park Place at Van Dorn is the place you'll love to call home!",0.01,1.0
